gene,exon_number,chrom,exon_start,exon_end,strand
ALK,1,2,30142859,30144432,-
ALK,2,2,29940444,29940563,-
ALK,3,2,29917716,29917880,-
ALK,4,2,29754781,29754982,-
ALK,5,2,29606598,29606725,-
ALK,6,2,29551216,29551347,-
ALK,7,2,29543617,29543748,-
ALK,8,2,29541170,29541270,-
ALK,9,2,29519754,29519923,-
ALK,10,2,29498268,29498362,-
ALK,11,2,29497965,29498093,-
ALK,12,2,29473971,29474133,-
ALK,13,2,29462546,29462696,-
ALK,14,2,29456431,29456562,-
ALK,15,2,29455170,29455314,-
ALK,16,2,29451750,29451932,-
ALK,17,2,29450440,29450538,-
ALK,18,2,29449788,29449940,-
ALK,19,2,29448327,29448431,-
ALK,20,2,29446208,29446394,-
ALK,21,2,29445383,29445473,-
ALK,22,2,29445210,29445274,-
ALK,23,2,29443572,29443701,-
ALK,24,2,29436850,29436947,-
ALK,25,2,29432652,29432744,-
ALK,26,2,29430037,29430138,-
ALK,27,2,29420408,29420542,-
ALK,28,2,29419636,29419726,-
ALK,29,2,29415640,29416788,-
EML4,1,2,42396490,42396776,+
EML4,2,2,42472645,42472827,+
EML4,3,2,42483641,42483770,+
EML4,4,2,42488261,42488434,+
EML4,5,2,42490318,42490446,+
EML4,6,2,42491846,42491871,+
EML4,7,2,42507990,42508113,+
EML4,8,2,42509963,42510112,+
EML4,9,2,42511774,42511843,+
EML4,10,2,42513409,42513519,+
EML4,11,2,42515367,42515462,+
EML4,12,2,42522265,42522399,+
EML4,13,2,42522521,42522656,+
EML4,14,2,42528381,42528532,+
EML4,15,2,42530244,42530369,+
EML4,16,2,42530455,42530586,+
EML4,17,2,42531624,42531691,+
EML4,18,2,42543102,42543190,+
EML4,19,2,42544567,42544664,+
EML4,20,2,42552607,42552694,+
EML4,21,2,42553294,42553392,+
EML4,22,2,42556026,42556156,+
EML4,23,2,42556874,42559688,+
